,Missing Values
id,0
feature_1,168
feature_2,176
feature_3,157
feature_4,162
feature_5,207
feature_6,157
feature_7,158
feature_8,160
feature_9,166
feature_10,168
feature_11,175
feature_12,161
feature_13,134
feature_14,147
feature_15,182
feature_16,149
feature_17,172
feature_18,164
feature_19,161
feature_20,155
feature_21,150
feature_22,152
feature_23,132
feature_24,164
feature_25,165
feature_26,176
feature_27,153
feature_28,148
feature_29,145
feature_30,124
feature_31,175
feature_32,170
feature_33,156
feature_34,140
feature_35,168
feature_36,153
feature_37,181
feature_38,152
feature_39,175
feature_40,162
feature_41,165
feature_42,148
feature_43,161
feature_44,161
feature_45,176
feature_46,148
feature_47,184
feature_48,168
feature_49,165
feature_50,165
feature_51,146
feature_52,173
feature_53,141
feature_54,129
feature_55,155
feature_56,163
feature_57,157
feature_58,166
feature_59,158
feature_60,144
feature_61,153
feature_62,166
feature_63,170
feature_64,156
feature_65,172
feature_66,158
feature_67,165
feature_68,152
feature_69,179
feature_70,166
feature_71,182
feature_72,157
feature_73,185
feature_74,170
feature_75,150
feature_76,153
feature_77,164
feature_78,166
feature_79,158
feature_80,140
feature_81,158
feature_82,174
feature_83,175
feature_84,134
feature_85,165
feature_86,187
feature_87,175
feature_88,161
feature_89,162
feature_90,164
feature_91,149
feature_92,157
feature_93,142
feature_94,170
feature_95,159
feature_96,151
feature_97,150
feature_98,155
feature_99,151
feature_100,149
target,0
